Altura,Latitud,Longitud
1131,-89.1422811639,0.676319031091
1130,-89.1430869884,0.674636897
1129,-89.1438927975,0.672955369689
1128,-89.1446985913,0.671274449152
1127,-89.1455043697,0.669594135383
1126,-89.1463101329,0.667914428376
1125,-89.1471158809,0.666235328125
1124,-89.1479216136,0.664556834624
1123,-89.1487273311,0.662878947867
1122,-89.1495330334,0.661201667848
1121,-89.1503387206,0.659524994561
1120,-89.1511443926,0.657848928
1119,-89.1519500496,0.656173468159
1118,-89.1527556915,0.654498615032
1117,-89.1535613184,0.652824368613
1116,-89.1543669302,0.651150728896
1115,-89.1551725271,0.649477695875
1114,-89.155978109,0.647805269544
1113,-89.156783676,0.646133449897
1112,-89.1575892281,0.644462236928
1111,-89.1583947652,0.642791630631
1110,-89.1592002876,0.641121631
1109,-89.1600057951,0.639452238029
1108,-89.1608112878,0.637783451712
1107,-89.1616167658,0.636115272043
1106,-89.162422229,0.634447699016
1105,-89.1632276774,0.632780732625
1104,-89.1640331112,0.631114372864
1103,-89.1648385304,0.629448619727
1102,-89.1656439348,0.627783473208
1101,-89.1664493247,0.626118933301
1100,-89.1672547,0.624455
1099,-89.1680600607,0.622791673299
1098,-89.1688654069,0.621128953192
1097,-89.1696707386,0.619466839673
1096,-89.1704760558,0.617805332736
1095,-89.1712813585,0.616144432375
1094,-89.1720866469,0.614484138584
1093,-89.1728919208,0.612824451357
1092,-89.1736971803,0.611165370688
1091,-89.1745024255,0.609506896571
1090,-89.1753076564,0.607849029
1089,-89.176112873,0.606191767969
1088,-89.1769180753,0.604535113472
1087,-89.1777232633,0.602879065503
1086,-89.1785284372,0.601223624056
1085,-89.1793335968,0.599568789125
1084,-89.1801387423,0.597914560704
1083,-89.1809438736,0.596260938787
1082,-89.1817489908,0.594607923368
1081,-89.182554094,0.592955514441
1080,-89.183359183,0.591303712
1079,-89.1841642581,0.589652516039
1078,-89.1849693191,0.588001926552
1077,-89.1857743661,0.586351943533
1076,-89.1865793992,0.584702566976
1075,-89.1873844184,0.583053796875
1074,-89.1881894236,0.581405633224
1073,-89.188994415,0.579758076017
1072,-89.1897993925,0.578111125248
1071,-89.1906043561,0.576464780911
1070,-89.191409306,0.574819043
1069,-89.1922142421,0.573173911509
1068,-89.1930191644,0.571529386432
1067,-89.193824073,0.569885467763
1066,-89.1946289679,0.568242155496
1065,-89.1954338491,0.566599449625
1064,-89.1962387167,0.564957350144
1063,-89.1970435707,0.563315857047
1062,-89.197848411,0.561674970328
1061,-89.1986532378,0.560034689981
1060,-89.199458051,0.558395016
1059,-89.2002628507,0.556755948379
1058,-89.201067637,0.555117487112
1057,-89.2018724097,0.553479632193
1056,-89.202677169,0.551842383616
1055,-89.2034819148,0.550205741375
1054,-89.2042866473,0.548569705464
1053,-89.2050913664,0.546934275877
1052,-89.2058960722,0.545299452608
1051,-89.2067007646,0.543665235651
1050,-89.2075054437,0.542031625
1049,-89.2083101096,0.540398620649
1048,-89.2091147622,0.538766222592
1047,-89.2099194016,0.537134430823
1046,-89.2107240279,0.535503245336
1045,-89.2115286409,0.533872666125
1044,-89.2123332408,0.532242693184
1043,-89.2131378276,0.530613326507
1042,-89.2139424013,0.528984566088
1041,-89.2147469619,0.527356411921
1040,-89.2155515094,0.525728864
1039,-89.216356044,0.524101922319
1038,-89.2171605655,0.522475586872
1037,-89.2179650741,0.520849857653
1036,-89.2187695698,0.519224734656
1035,-89.2195740525,0.517600217875
1034,-89.2203785223,0.515976307304
1033,-89.2211829793,0.514353002937
1032,-89.2219874234,0.512730304768
1031,-89.2227918547,0.511108212791
1030,-89.2235962732,0.509486727
1029,-89.2244006789,0.507865847389
1028,-89.2252050719,0.506245573952
1027,-89.2260094522,0.504625906683
1026,-89.2268138197,0.503006845576
1025,-89.2276181746,0.501388390625
1024,-89.2284225168,0.499770541824
1023,-89.2292268465,0.498153299167
1022,-89.2300311635,0.496536662648
1021,-89.2308354679,0.494920632261
1020,-89.2316397598,0.493305208
1019,-89.2324440392,0.491690389859
1018,-89.2332483061,0.490076177832
1017,-89.2340525605,0.488462571913
1016,-89.2348568024,0.486849572096
1015,-89.2356610319,0.485237178375
1014,-89.2364652491,0.483625390744
1013,-89.2372694538,0.482014209197
1012,-89.2380736462,0.480403633728
1011,-89.2388778262,0.478793664331
1010,-89.239681994,0.477184301
1009,-89.2404861495,0.475575543729
1008,-89.2412902927,0.473967392512
1007,-89.2420944236,0.472359847343
1006,-89.2428985424,0.470752908216
1005,-89.243702649,0.469146575125
1004,-89.2445067434,0.467540848064
1003,-89.2453108257,0.465935727027
1002,-89.2461148959,0.464331212008
1001,-89.246918954,0.462727303001
1000,-89.247723,0.461124
